id,first_name,last_name,gender,weight,height
459-10-2894,Ruggiero,Collinwood,Male,107.78,182.48
718-97-5260,Cosme,Kuhwald,Male,84.02,184.41
202-47-9430,Prent,Catterson,Male,77.5,151.63
725-82-4671,Brigid,Merriday,Female,102.17,187.0
210-88-5129,Terencio,Duly,Male,89.39,169.92
487-39-3692,Bancroft,Bushell,Male,80.91,162.24
108-84-2197,Cori,Matyja,Male,89.74,163.9
896-28-2974,Levin,Stambridge,Male,76.0,183.49
130-72-3338,Lynda,Kings,Female,74.11,153.51
543-60-8613,Randi,Plenderleith,Male,107.29,180.29
857-33-0929,Judie,McCurry,Female,103.06,158.7
520-85-6742,Tulley,Tabor,Male,104.08,168.97
488-80-8892,Kasper,Lalley,Male,62.19,162.13
197-13-7154,Raul,Crowcombe,Male,53.41,165.56
739-77-2329,Kennan,Wolfindale,Male,55.05,152.96
360-82-9279,Adolf,Amaya,Male,104.87,174.43
894-69-8815,Tracie,Yashnov,Female,48.22,152.72
494-29-9874,Caterina,Shotboulte,Female,78.59,188.91
246-28-9647,Cliff,Daubney,Male,75.93,165.02
735-68-7603,Mira,Sertin,Female,90.03,164.11
323-17-4441,Umeko,MacClenan,Female,59.31,174.41
513-49-8057,Suzi,Colbert,Female,48.16,155.71
843-98-4865,Laird,Nursey,Male,61.36,151.43
744-58-2641,Fionnula,Winsbury,Female,76.59,189.5
761-64-4222,Mara,Blaschke,Female,71.3,155.31
130-90-5829,Pammie,Marskell,Female,68.35,164.47
213-76-3284,Nate,Northcott,Male,96.68,167.28
208-04-1890,Giacobo,Didball,Male,66.85,180.14
660-35-3819,Blanca,Trevett,Female,95.51,184.3
235-77-9377,Horst,Chasle,Male,86.02,156.36
838-70-7616,Tyne,Barneville,Female,50.39,173.3
552-71-6376,Eli,Cheesley,Male,61.75,189.24
442-80-6441,Virgilio,Maclean,Male,97.63,184.88
487-79-5497,Kimmi,Cradick,Female,95.36,172.7
248-27-1542,Allianora,McQuirter,Female,97.58,176.99
757-23-1036,Nert,Carrick,Female,106.47,154.08
565-60-4824,Raphael,Piolli,Male,63.51,150.29
780-23-8045,Elsworth,Goldstein,Male,103.57,167.87
824-16-9748,Chester,Gandrich,Male,50.03,179.33
769-09-5945,Leoine,Seal,Female,46.32,186.56
281-29-3551,Tim,Gores,Female,96.92,165.31
884-74-8000,Gusta,Dabbs,Female,62.47,179.95
311-23-3168,Brigit,Winward,Female,56.82,186.21
103-81-1392,Zora,Moreno,Female,63.18,166.72
326-56-1540,Willdon,Fuxman,Male,52.91,153.9
262-02-0345,Kaila,Ruttgers,Female,48.97,184.52
254-32-7901,Denyse,Foker,Female,96.5,161.62
595-88-4059,Caren,Glencrosche,Female,62.72,167.52
722-67-1833,Merci,Earley,Female,100.87,175.1
225-13-9940,Tessy,Wands,Female,72.37,155.18
299-75-3368,Carlotta,Wyne,Female,91.75,155.08
809-75-5820,Rose,Innott,Female,84.61,163.34
321-55-4365,Emerson,Follis,Male,107.8,152.65
838-64-8527,Had,Pedrozzi,Male,109.46,177.03
851-77-8868,Lilla,Yakhin,Female,69.09,174.06
242-95-6285,Magnum,Dosdale,Male,85.48,172.71
863-97-2632,Bealle,Guilaem,Male,74.17,181.35
884-94-7555,Boycie,Meneo,Male,90.91,179.21
186-87-2489,Tedda,Ormiston,Female,63.22,152.6
155-80-7882,Maxim,Katzmann,Male,109.76,170.43
768-82-0481,Tiffani,Scala,Female,90.02,171.97
351-15-2590,Paula,Marre,Female,60.9,186.32
169-23-7606,Moreen,Kettoe,Female,87.49,181.64
644-07-0260,Abrahan,Dixsee,Male,99.4,163.14
331-22-1227,Flin,Taylor,Male,101.27,177.37
714-99-8125,Xylina,Curro,Female,77.67,167.26
316-63-0354,Lynn,Keynd,Male,45.98,175.03
751-98-9307,Lazaro,Billows,Male,50.96,151.54
898-15-9219,Gavrielle,Raiker,Female,79.67,184.26
533-12-4175,Findlay,Filipchikov,Male,109.97,188.94
319-79-7491,Chevy,Pollastrone,Male,98.65,160.24
307-59-9047,Tandy,BoHlingolsen,Female,48.11,175.17
484-19-5328,Hannis,Shand,Female,93.36,154.91
722-23-9975,Ephrayim,Stritton,Male,56.68,185.98
221-34-6788,Charmion,Drew,Female,106.59,164.11
213-94-8338,Bibi,Houselee,Female,77.07,174.21
741-42-8625,Dew,Anney,Male,53.98,164.09
570-97-1569,Madel,Maynell,Female,103.63,176.41
638-83-0586,Thayne,Vaun,Male,94.29,154.68
285-50-9349,Sondra,Doulton,Female,47.25,186.65
676-84-1914,Becka,Norrington,Female,60.27,175.47
821-71-0756,Cozmo,Shanklin,Male,61.9,171.07
667-43-1518,Sauncho,Creagh,Male,82.83,163.83
101-52-2646,Alisun,Wheeliker,Female,82.43,184.53
821-09-4765,Alika,Screwton,Female,97.6,184.87
182-61-9308,Mickie,McMyler,Female,65.97,160.16
855-56-1169,Valery,Llop,Female,73.81,183.14
327-04-4786,Demetrius,Langthorne,Male,65.93,180.54
853-58-9808,Davine,Hanscom,Female,78.93,150.67
868-16-9370,Costanza,Atkin,Female,99.92,157.06
345-98-1345,Riki,Lunnon,Female,57.0,174.07
534-96-1373,Frasier,Vasler,Male,56.16,168.67
236-51-5559,Muriel,Kelshaw,Female,80.47,169.52
516-98-3131,Susette,Starmont,Female,72.66,177.68
180-41-9244,Portie,Medwell,Male,107.7,169.76
341-88-7560,Benn,Aukland,Male,93.32,173.18
233-48-8354,Anny,Skivington,Female,69.37,180.09
559-06-8602,Emma,Gottschalk,Female,109.75,187.06
209-19-2714,Dirk,Baskett,Male,66.1,159.49
266-15-9356,Magdaia,Crosoer,Female,88.11,154.58
331-47-3446,Hilda,Gerbl,Female,46.1,183.05
673-51-1336,Avery,Imorts,Male,86.85,154.5
649-38-1897,Shermie,Sheaber,Male,102.73,179.5
261-41-2725,Hogan,Simion,Male,,
245-11-0664,Lulu,Utridge,Female,69.14,151.68
571-28-8084,Kevina,Donnelly,Female,48.46,174.67
402-13-4297,Giffie,McIlvoray,Male,45.35,178.68
396-70-7710,Leonhard,Corns,Male,85.44,170.21
233-79-6059,Jason,Doree,Male,48.73,166.6
531-19-4784,Pearla,Addinall,Female,66.3,158.93
654-34-0016,Marshall,Szantho,Male,54.17,177.38
511-97-9462,Con,Pollastro,Male,60.23,177.71
707-43-6697,Salvador,Patise,Male,54.29,167.58
288-90-4953,Mavis,Jesson,Female,64.95,183.37
535-17-9702,Templeton,Potte,Male,74.57,176.4
445-05-9880,Henka,Pexton,Female,100.39,171.1
469-92-0487,Dolly,Bruhnicke,Female,62.52,175.26
805-96-9592,Orin,MacConnel,Male,60.63,159.53
513-78-5260,Willie,Riddett,Male,65.66,166.39
127-73-4952,Amelita,Nelle,Female,45.16,162.83
627-82-9069,Glenn,Bartram,Male,76.58,170.5
331-74-7822,Ansell,Hyndman,Male,108.69,183.71
553-08-6962,Francine,Spiers,Female,88.94,158.88
227-37-0609,Tore,Helstrom,Male,103.99,163.99
691-29-7857,Palm,Huebner,Male,60.17,174.96
113-99-1382,Cassie,Licence,Female,58.71,180.06
245-19-7494,Koren,Coldman,Female,104.81,179.06
839-56-1992,Edgardo,Dearle-Palser,Male,92.43,171.7
211-22-7455,Orion,Quenby,Male,,
715-90-1457,Nomi,Seymark,Female,84.99,181.34
397-84-5636,Corinna,Hodgin,Female,100.07,176.89
441-95-3721,Christean,Gwinnel,Female,73.8,155.27
885-80-7412,Rogerio,Fleckness,Male,94.28,185.35
198-28-6269,Johanna,Penna,Female,52.26,170.22
772-64-5661,Brnaby,Romeuf,Male,88.7,160.99
654-06-4355,Andris,Ballam,Male,81.35,174.1
271-61-8811,Tiffany,Mussilli,Female,,
725-46-3483,Rodge,Dreamer,Male,106.27,187.71
677-21-4612,Jenilee,Tredwell,Female,56.58,166.72
593-70-1189,Betsey,Pepall,Female,46.52,173.45
645-96-2741,Ricki,Gimenez,Female,45.86,175.65
726-17-0369,Mycah,Rettie,Male,81.43,153.09
265-54-7482,Natalee,Breckon,Female,56.68,163.75
624-16-9036,Walt,Gerdts,Male,,
458-05-8849,Carlin,Cobby,Female,94.19,182.4
599-82-1504,Edvard,Lewinton,Male,65.12,188.11
391-68-5421,Gwendolyn,Huntress,Female,101.58,156.32
204-68-4546,Zia,Meriot,Female,92.5,178.14
544-97-0330,Haroun,Kirwan,Male,47.22,154.35
835-73-1053,Neilla,Hollows,Female,64.18,162.68
705-51-0063,Anitra,Goalby,Female,93.12,189.15
525-88-4800,Joshuah,Low,Male,66.05,189.22
130-55-0631,Gardner,Leeburne,Male,92.27,157.08
165-41-4682,Goddard,Barke,Male,87.03,185.9
150-69-8544,Tracey,McCaghan,Female,94.6,177.35
760-85-4634,Nerissa,Quenell,Female,92.34,186.6
665-25-8215,Joella,Bergen,Female,66.42,167.1
213-46-6302,Barret,Conti,Male,70.16,189.48
851-04-1801,Jory,Chattelaine,Male,63.94,165.0
590-63-5918,Hendrik,Wadlow,Male,89.08,189.88
584-12-5699,Babbette,Hastewell,Female,49.75,189.17
281-31-8986,Laurie,Plank,Male,98.81,166.83
554-76-9833,Di,Yuryichev,Female,53.01,185.56
824-57-9079,Clarisse,Simison,Female,68.13,181.4
677-62-7837,Heida,MacCartan,Female,62.97,162.46
319-12-0782,Gardener,Iapico,Male,64.15,173.19
793-18-5272,Bernardo,Betho,Male,50.58,175.45
815-77-3740,Darius,Peers,Male,78.73,161.04
897-42-0907,Carol-jean,Paszak,Female,104.63,184.19
156-25-9069,Jasmine,Kedwell,Female,67.62,167.69
380-84-9207,Cecil,Geikie,Male,75.86,183.7
395-92-0276,Val,Mehmet,Female,106.25,176.97
277-57-7689,Carroll,McGilleghole,Male,89.72,151.39
602-23-4125,Beau,Hunston,Male,69.83,183.03
535-96-6797,Broddie,Cherrison,Male,94.85,178.23
766-80-5784,Dosi,Cridlan,Female,83.5,175.03
233-58-8932,Zorine,Dresser,Female,56.68,179.11
508-26-3782,Veronica,Blazej,Female,61.23,176.08
362-16-6404,Avram,Lindborg,Male,66.28,151.58
578-87-3005,Irma,Avrahamian,Female,105.5,186.89
203-51-7750,Kingston,Hyndman,Male,70.17,160.99
548-23-0443,Jo,Coad,Female,45.87,176.51
179-19-1122,Ferdinanda,Fellowes,Female,64.74,163.12
887-28-0187,Park,Teenan,Male,70.82,179.8
170-68-4529,Rudiger,Chidzoy,Male,65.96,172.7
274-17-9898,Pia,Gallemore,Female,96.27,186.56
400-25-2965,Helge,Lawles,Female,81.26,176.87
570-23-1692,Gale,Pithie,Female,61.45,179.09
467-32-8134,Reece,Seamons,Male,64.99,173.2
567-87-3595,Johnette,Baudi,Female,89.25,188.19
697-59-5911,Dillie,Padbury,Male,101.05,183.61
852-54-2321,Carmella,Lodemann,Female,98.2,188.37
204-10-7210,Kathleen,Laugheran,Female,102.09,153.88
669-16-3060,Lindsay,Goggin,Male,108.8,169.11
680-63-2260,Gloriane,Wehnerr,Female,94.97,178.16
148-84-8288,Guthry,Wolfenden,Male,83.86,183.5
199-58-0612,Skylar,Boldero,Male,52.79,160.64
349-31-1594,Avram,Groarty,Male,95.76,162.3
313-69-5259,Anett,Sanderson,Female,62.24,167.83
483-21-5751,Tracy,Cham,Male,84.78,159.79
761-10-9010,Bobby,Grewer,Female,95.25,178.74
125-91-3793,Ring,Liver,Male,84.77,167.61
647-95-9307,Karlene,Lipyeat,Female,51.81,173.12
311-85-5876,Eileen,Tennock,Female,74.2,169.42
142-75-4632,Fields,Darrigrand,Male,70.44,178.09
625-27-6114,Verla,Georgeon,Female,99.47,162.45
426-60-0308,Erv,Mordanti,Male,85.08,169.27
627-56-4071,Petronille,Cobbald,Female,79.43,156.09
426-03-7247,Thedrick,Polkinhorn,Male,59.86,151.55
688-26-5552,Sergent,Brixey,Male,84.14,158.52
543-91-8393,Gan,Jewett,Male,106.49,162.57
807-39-2897,Anna,Marron,Female,89.63,180.63
215-08-6566,Bobbie,Klimkin,Female,89.33,187.39
736-45-7202,Thomas,Sommerville,Male,108.71,152.08
237-59-1889,Bruis,Dat,Male,87.47,161.76
305-08-4294,Tonie,Krier,Female,106.05,154.28
232-99-7727,Shay,Wale,Female,96.48,159.57
391-03-0900,Chickie,Sowrey,Female,47.76,151.47
114-70-7908,Florentia,Itzkowicz,Female,105.04,170.9
501-69-0065,Deena,Ryde,Female,73.96,155.46
176-62-7960,Kristien,Duckering,Female,54.54,163.58
899-40-3328,Jeremias,Fairlamb,Male,99.85,182.12
557-39-2178,Fraze,Mose,Male,57.78,173.64
496-82-6268,Andra,Byer,Female,46.3,166.4
878-60-6520,Filia,Pounsett,Female,54.6,174.54
130-83-2480,Barrie,Barwack,Male,63.28,163.43
267-93-3296,Dixie,Skeen,Female,55.41,160.7
851-62-9729,Nataniel,Portigall,Male,107.15,183.68
838-84-5363,Raine,Yitzhok,Female,,
439-78-7237,Brodie,Ballentime,Male,61.56,156.43
558-52-6447,Minna,Kybert,Female,49.8,155.78
568-67-0365,Phip,Guisby,Male,62.74,156.84
591-93-8486,Rhona,Emmot,Female,45.16,165.36
679-17-7369,Aaron,Pridham,Male,91.2,176.38
870-74-6667,Roanna,Cropp,Female,50.22,166.25
277-39-9284,Renie,Phelan,Female,103.95,164.16
370-29-1433,Bibbie,Joiris,Female,60.43,177.65
118-85-9087,Micheil,Renzini,Male,92.56,176.34
751-17-4664,Angie,Lakenden,Male,61.6,183.02
490-12-5988,Burt,Cockren,Male,81.46,181.57
760-23-3332,Jerome,Yansons,Male,105.63,172.87
400-47-7180,Tildy,Swigg,Female,103.89,170.65
385-64-7419,Lennie,Moxstead,Male,100.84,161.24
653-13-0287,Randee,Corley,Female,51.25,181.0
792-55-2514,Venus,Tocknell,Female,64.05,169.44
759-91-4210,Jessa,Sancraft,Female,91.88,158.65
885-10-1744,Giorgi,Saveall,Male,49.05,179.43
137-27-7178,Fremont,McLinden,Male,77.86,157.6
319-78-7561,Janet,Ogelsby,Female,49.14,164.03
294-69-5558,Karia,Hawson,Female,107.95,159.07
510-99-7924,Nichols,Lippett,Male,89.36,171.88
847-51-2953,Matthew,Burdytt,Male,61.2,160.34
677-37-2698,Nil,Painswick,Male,77.46,180.84
350-63-8935,Phoebe,Beernt,Female,60.1,154.65
626-09-6111,Trever,Antonin,Male,68.85,166.12
206-39-4796,Lanette,Marikhin,Female,65.79,186.89
750-06-4259,Emery,Zima,Male,82.93,184.09
567-67-9293,Alyosha,Pettigree,Male,60.06,165.12
783-80-7876,Silva,Jilliss,Female,100.67,182.73
639-92-4252,Elvira,Poulston,Female,101.04,152.77
390-78-8486,Karole,Scole,Female,72.86,179.86
373-32-6022,Carlos,McIlwreath,Male,89.84,177.55
339-69-2350,Sofie,Hembry,Female,57.37,169.35
460-18-2700,Carlita,Krabbe,Female,59.58,179.33
219-94-5679,Mariellen,Hourigan,Female,68.79,187.43
197-75-3674,Morly,Hurt,Male,93.42,187.03
647-87-8676,Blakeley,Sommer,Female,86.37,159.58
129-45-1802,Cami,Zanazzi,Female,49.83,179.55
117-06-3352,Bartolomeo,Newiss,Male,105.88,182.21
879-43-3984,Clemmy,Ipsly,Male,45.32,164.52
152-79-9312,Meggi,Dahlbom,Female,107.68,173.34
782-65-6524,Harcourt,Collishaw,Male,94.15,184.32
198-61-9280,Eamon,Antonov,Male,47.51,188.22
249-71-6509,Yvon,Bayne,Male,71.61,170.49
877-41-7056,Antonino,Plan,Male,56.6,180.38
147-16-1387,Pryce,Jeanel,Male,59.15,170.83
731-24-5688,Paxon,Jikylls,Male,103.51,170.08
527-02-0595,Hurlee,Kowalski,Male,103.76,188.39
110-48-9407,Caressa,Haggart,Female,67.18,167.37
317-08-0757,Kandace,Giraudoux,Female,50.21,185.16
128-70-1741,Arda,Couzens,Female,86.79,172.2
811-23-5737,Mamie,Aland,Female,87.24,177.4
632-49-2399,Esdras,Maldin,Male,92.75,150.72
296-46-4543,Darcy,Pavolillo,Male,61.18,152.35
631-02-8359,Freemon,Santore,Male,94.93,180.55
527-31-7552,Cliff,Wrightim,Male,90.71,188.45
757-67-7457,Tammie,Signori,Male,108.14,159.25
750-37-6628,Clarissa,Endrighi,Female,82.84,167.12
557-52-6771,Teodoor,Daftor,Male,88.67,180.69
454-24-3275,Halimeda,Mayou,Female,63.03,175.05
272-55-7462,Kristian,Amps,Male,80.46,186.37
851-61-0743,Nappie,Hinstridge,Male,81.24,151.62
515-33-9986,Mattias,Hannabus,Male,73.08,151.99
800-48-6698,Leodora,Baselli,Female,81.54,156.02
225-02-7101,Ibrahim,Trew,Male,70.04,153.8
566-31-1028,Kris,Franzke,Female,,
604-20-0054,Harmony,Crutch,Female,77.87,183.24
107-18-2265,Nerissa,Trevon,Female,81.49,155.73
491-48-9672,Jere,Jina,Female,48.86,180.92
549-28-9721,Findley,Buy,Male,50.53,162.94
310-02-6175,Zelig,Feldklein,Male,83.41,158.58
584-30-5680,Mohandis,Gilardoni,Male,49.78,165.22
257-35-3460,Benyamin,Godthaab,Male,79.58,176.87
282-27-2959,Eduardo,Plevey,Male,57.6,174.37
420-53-7550,Fran,Chaplyn,Male,80.94,162.33
171-59-7620,Erie,Pavek,Male,70.2,173.87
240-55-4147,Layne,Robertshaw,Female,48.63,150.42
813-63-5301,Ben,Mighele,Male,109.01,188.46
842-09-4198,Lisette,Titley,Female,48.09,177.82
358-55-0189,Keenan,Mattosoff,Male,83.91,161.87
525-14-4569,Hartley,Grinyov,Male,55.13,166.85
869-58-0665,Carole,Tummasutti,Female,102.23,150.64
648-84-0797,Basilio,Dimblebee,Male,96.77,164.6
333-25-6712,Townsend,Bold,Male,98.82,174.32
195-83-3188,Marthe,Peterken,Female,51.48,163.0
618-65-3832,Glori,Exton,Female,93.09,181.24
600-56-2639,Lanna,Andrey,Female,47.89,174.43
708-28-7353,Edythe,McCloy,Female,67.38,186.61
696-05-4776,Elliott,Garrett,Male,90.1,160.63
781-04-9217,Seamus,Szimon,Male,108.81,167.23
110-35-5795,Darren,Buske,Male,89.55,175.28
373-73-4583,Tori,Toquet,Female,71.09,175.92
331-08-6119,Homere,Morrison,Male,100.97,152.31
550-28-6768,Paco,Tamburo,Male,79.66,182.93
859-16-6037,Cele,Grumell,Female,72.73,168.68
730-37-1253,Katinka,Arton,Female,68.47,169.78
847-24-3825,Lilah,Artiss,Female,65.81,175.93
350-35-3212,Wendy,Glanester,Female,51.61,177.01
359-49-5896,Aldon,Vallow,Male,49.96,152.81
259-28-1820,Vassily,Svanini,Male,81.9,170.45
683-25-1813,Jimmy,Carayol,Male,100.2,180.2
496-60-0046,Cece,Petroff,Male,45.3,151.25
203-29-6809,Gustavus,M'Chirrie,Male,105.25,189.46
384-59-1979,Selestina,Sturror,Female,48.14,189.25
591-73-4728,Bab,Gresswell,Female,91.64,165.8
753-89-8410,Yulma,Allibon,Male,83.2,161.33
886-02-0794,Terence,Bold,Male,54.54,173.36
183-62-4187,Bellanca,McGreal,Female,90.15,176.0
283-33-7176,Darice,Westphalen,Female,102.75,173.12
526-82-4140,Zorine,Rickwood,Female,84.32,159.01
639-36-2094,Bili,Ellingford,Female,54.76,187.68
613-48-3101,Ronalda,Chettle,Female,88.53,156.73
849-71-1676,Teriann,Dishman,Female,52.42,172.63
275-10-3007,Berta,Frazer,Female,45.36,188.31
662-80-3184,Abramo,Godart,Male,53.77,161.24
690-98-3829,Coletta,Hedman,Female,96.7,152.26
211-66-8749,Boyce,Maskrey,Male,88.17,186.37
338-70-9381,Alleen,Witul,Female,53.98,156.61
796-11-0459,Lauralee,Collinette,Female,75.09,161.58
782-78-0469,Abraham,Landrean,Male,85.23,167.19
520-44-9321,Reyna,Philbrick,Female,77.53,163.65
156-62-5525,Maighdiln,O'Sharkey,Female,82.84,175.03
235-68-3327,Thaddus,Martinetto,Male,103.78,174.55
492-48-3407,Lorianna,Turban,Female,98.95,166.37
347-56-2248,Corri,Tibbetts,Female,107.99,160.26
353-19-5261,Renae,Jeckells,Female,89.43,169.5
334-39-7352,Kylie,Dunphie,Male,48.41,187.66
374-03-8695,Christina,Annets,Female,55.58,165.64
806-31-6163,Chickie,Sweeney,Male,70.72,176.54
768-67-8052,Patrizius,Stoodale,Male,59.91,177.48
690-82-6558,Genni,Childs,Female,54.21,184.27
827-63-7366,Danya,Lambarton,Female,59.98,188.8
173-03-0157,Dino,Clapshaw,Male,47.32,158.6
796-02-3571,Wyatan,Janku,Male,55.89,157.06
520-23-3030,Alick,Grossier,Male,100.58,172.27
159-49-6908,Kylie,Flieg,Female,69.03,163.25
541-41-6027,Garwin,Cawkwell,Male,109.75,159.59
127-89-7801,Patten,Suggey,Male,62.97,160.82
625-94-5421,Evonne,Hulstrom,Female,99.99,181.23
210-35-8962,Agace,Gude,Female,105.85,184.61
771-05-4223,Susanne,Breton,Female,76.58,181.04
699-47-5045,Clementina,Costanza,Female,101.31,177.53
156-67-1490,Obidiah,Bineham,Male,48.27,181.53
256-12-5794,Nappy,Bravington,Male,69.46,184.42
421-15-3600,Gwendolen,Couvet,Female,54.83,181.21
656-69-2713,Josh,Laflin,Male,96.34,165.54
798-44-8182,Arlina,Gregoire,Female,85.64,177.72
291-35-9020,Ezekiel,Santostefano.,Male,99.1,185.74
749-84-1936,Bette-ann,Urien,Female,90.25,170.12
772-60-7563,Cart,Sillett,Male,71.09,170.4
304-57-3944,Hartley,Eyckelbeck,Male,85.4,166.79
436-67-4080,Alano,Noury,Male,85.07,173.7
333-19-8266,Bertina,Larrett,Female,53.8,160.6
189-20-3944,Ronnie,Dubose,Female,95.44,170.82
636-26-8329,Mamie,Hele,Female,73.59,169.85
431-77-2497,Karlotta,Lewsam,Female,96.98,178.09
741-06-3303,Guillemette,Raddin,Female,63.77,160.14
142-02-3827,Husein,Stuther,Male,92.77,158.06
711-94-2441,Phelia,Ingman,Female,105.32,163.59
740-65-5748,Luciano,Beetham,Male,98.71,180.15
258-34-6247,Vera,Karlicek,Female,45.27,164.9
104-63-4221,Ev,Kaasman,Male,54.63,186.86
536-02-1911,Gussy,Ousbie,Female,81.74,179.73
400-70-8086,Flore,Jockle,Female,93.81,181.5
854-16-1000,Constantine,Egan,Female,58.42,150.64
799-75-6943,Aristotle,Shiliton,Male,47.58,169.06
